# 语义层自动表：异体字 → 整理本用形（LM 统计 / 阅读辅助用），由 scripts/build_semantic_variants.py 派生。
# 格式：异体字	代表字	来源(ledger|graph)。手工表 config/dicts/variants.tsv 覆盖本表。
# 字形层标签永远保留精确异体字形，绝不按此表合并。
# edition=wuyingdian_zongmu  entries=9076
㦮	錢	graph
㦯	或	graph
㦲	哉	graph
㦵	誅	graph
㦷	勇	graph
㦻	襲	graph
㦿	户	graph
㧈	引	graph
㧕	抑	graph
㧗	扺	graph
㧢	因	graph
㧧	梳	graph
㨈	擠	graph
㨔	撼	graph
㨣	擁	graph
㨨	抽	graph
㨪	晃	graph
㨳	庋	graph
㨴	建	graph
㨺	捫	graph
㨼	掠	graph
㨽	副	graph
㨿	據	graph
㩀	據	graph
㩃	搴	graph
㩅	抽	graph
㩈	捃	graph
㩣	揮	graph
㩤	敷	graph
㩪	擷	graph
㪅	更	graph
㪍	勃	graph
㪔	散	graph
㪚	散	graph
㪣	敲	graph
㪨	繕	graph
㪫	叡	graph
㪯	舉	graph
㪰	齋	graph
㪸	斟	graph
㪿	折	graph
㫀	鼎	graph
㫁	斷	graph
㫄	旁	graph
㫅	旗	graph
㫋	旃	graph
㫓	氣	graph
㫕	光	graph
㫗	厚	graph
㫜	旦	graph
㫧	暴	graph
㫩	春	graph
㫫	顯	graph
㫰	朗	graph
㫳	晨	graph
㫹	昴	graph
㫺	昔	graph
㬌	景	graph
㬍	曝	graph
㬜	晉	graph
㬢	曦	graph
㬧	暴	graph
㬰	臾	graph
㬱	替	graph
㬴	月	graph
㬶	浩	graph
㭃	綱	graph
㭊	析	graph
㭘	拾	graph
㭜	械	graph
㭬	椓	graph
㭻	棠	graph
㭽	柢	graph
㮄	榜	graph
㮏	柰	graph
㮤	松	graph
㮸	送	graph
㮺	本	graph
㯃	漆	graph
㯋	穎	graph
㯟	麓	graph
㯣	棻	graph
㯥	曹	graph
㯰	植	graph
㯷	樸	graph
㰀	梨	graph
㰉	榛	graph
㰎	檇	graph
㰛	櫟	graph
㰞	嗤	graph
㱁	款	graph
㱃	飲	graph
㱄	默	graph
㱒	訶	graph
㱕	歸	graph
㱨	殮	graph
㱺	臚	graph
㲊	叡	graph
㲍	翅	graph
㲵	霄	graph
㲻	溺	graph
㲾	雨	graph
㳂	沿	graph
㳅	流	graph
㳇	務	graph
㳈	沛	graph
㳑	溢	graph
㳙	涓	graph
㳤	淑	graph
㳫	沓	graph
㳰	溝	graph
㳹	汪	graph
㴅	消	graph
㴆	浸	graph
㴇	涉	graph
㴉	濟	graph
㴊	淵	graph
㴝	黎	graph
㴞	滔	graph
㴩	灉	graph
㴱	深	graph
㴻	澍	graph
㴾	渤	graph
㵄	漢	graph
㵆	澔	graph
㵋	汨	graph
㵒	沸	graph
㵓	湜	graph
㵙	清	graph
㵟	湄	graph
㵭	渚	graph
㵰	漵	graph
㵸	瀹	graph
㵺	渒	graph
㶜	淵	graph
㶡	火	graph
㶫	燎	graph
㶳	燼	graph
㶻	烽	graph
㶿	𤊹	graph
㷀	煢	graph
㷊	焚	graph
㷐	燬	graph
㷑	煙	graph
㷔	焰	graph
㷖	照	graph
㷥	烝	graph
㷭	烽	graph
㷻	無	graph
㸀	炱	graph
㸂	燧	graph
㸃	點	graph
㸉	燮	graph
㸋	膰	graph
㸑	爨	graph
㸘	萬	graph
㸣	業	graph
㸤	辨	graph
㸫	犍	graph
㹇	犍	graph
㹥	狂	graph
㹸	貌	graph
㺃	狗	graph
㺪	璞	graph
㺮	玗	graph
㺹	玣	graph
㺺	瑁	graph
㻄	寶	graph
㻎	瑟	graph
㻽	璿	graph
㼄	璣	graph
㼜	盎	graph
㼼	瓢	graph
㽁	鬲	graph
㽒	甥	graph
㽗	畝	graph
㽫	壅	graph
㽮	星	graph
㽵	莊	graph
㾘	梗	graph
㾿	廊	graph
㿞	耄	graph
㿢	耀	graph
䀆	盡	graph
䀋	鹽	graph
䁞	省	graph
䁹	睥	graph
䂖	石	graph
䂡	砥	graph
䂴	研	graph
䃍	墜	graph
䃪	壇	graph
䃲	磐	graph
䃺	磨	graph
䃻	壩	graph
䄀	禍	graph
䄄	禋	graph
䄇	裎	graph
䄒	稔	graph
䄕	社	graph
䄠	禪	graph
䄡	襜	graph
䄫	芑	graph
䄬	移	graph
䄭	年	graph
䄰	芽	graph
䄷	石	graph
䅇	粟	graph
䅧	蔭	graph
䅨	香	graph
䅶	耨	graph
䅸	莘	graph
䆐	國	graph
䆒	究	graph
䆚	洞	graph
䆜	宥	graph
䆠	宦	graph
䆣	宸	graph
䆤	穿	graph
䆧	窩	graph
䆮	浸	graph
䆳	邃	graph
䆺	潘	graph
䆻	竅	graph
䆼	窠	graph
䇃	俟	graph
䇇	氓	graph
䇡	杼	graph
䇥	笮	graph
䇧	箕	graph
䇾	言	graph
䈇	罩	graph
䈎	葉	graph
䈞	篤	graph
䉉	觚	graph
䉵	饌	graph
䉼	料	graph
䊆	糗	graph
䊉	糝	graph
䊒	精	graph
䊙	研	graph
䊠	餼	graph
䊳	糜	graph
䊹	牽	graph
䊻	絘	graph
䋁	綆	graph
䋄	網	graph
䋈	茹	graph
䋚	翼	graph
䋜	綮	graph
䋞	網	graph
䋠	補	graph
䋣	繁	graph
䋯	綮	graph
䋲	繩	graph
䋹	幅	graph
䌂	握	graph
䌄	綆	graph
䌇	索	graph
䌉	綱	graph
䌊	繇	graph
䌓	繁	graph
䌛	繇	graph
