# 形近对表 v1（2026-09-22）。对象：现役 CNN 类表 4654 类。判据：(a) IDS 关系（同结构只差一槽 slot / 同部件异布局 layout）且字体模板 embedding 余弦 ≥ 0.945；(b) 任意两类字体模板余弦 ≥ 0.955（visual，含独体）。余弦来自 r5 主干 171dafe12f59 对 fonts/ 全部字体（49a4dcab1818）渲染均值；IDS 词表 1b4e652f5be9。标定：諭/論 .958 己/巳 .947 日/曰 .961 王/玉 .960 士/土 .975 戌/戍 .961 侯/候 .961；湄/潰 .937 泌/湖 .909 被 (a) 挡在外。随机类对 p50/p99 = .924/.944。
# 用途：形近靶子抽样、训练硬负例批采样、审字卡片提示「存在形近字 X，差在 R 槽 俞/侖」。**不进放行**。
a	b	kind	cos	detail
研	硏	slot	0.9990	⿰:R:幵/开
飮	飲	slot	0.9987	⿰:L:人皀/飠
喩	喻	visual	0.9982	
𥙐	𦊨	visual	0.9967	
俱	倶	visual	0.9966	
𣕕	𫃟	visual	0.9965	
𦊨	𫃟	visual	0.9964	
𢦤	𥙐	visual	0.9963	
𥙐	𫃟	visual	0.9962	
𣕕	𥙐	visual	0.9962	
𣕕	𦊨	visual	0.9960	
𥳽	𫃟	visual	0.9960	
𢦤	𣕕	visual	0.9959	
𣕕	𥳽	visual	0.9959	
𢦤	𫃟	visual	0.9958	
𥳽	𦊨	visual	0.9958	
𥙐	𥳽	visual	0.9957	
𢦤	𦊨	visual	0.9956	
𥙐	𨽾	visual	0.9955	
𨽾	𫃟	visual	0.9955	
𥳽	𨽾	visual	0.9955	
𠷣	𣱁	visual	0.9954	
𣕕	𨽾	visual	0.9954	
𣙗	𥊍	slot	0.9953	⿱:B:目/木
𦊨	𨽾	visual	0.9953	
𢦤	𨽾	visual	0.9952	
𢦤	𥳽	visual	0.9950	
𢑴	𧃲	visual	0.9948	
𠷣	𧃲	visual	0.9948	
𢇮	𧃲	visual	0.9948	
𢇮	𢑴	visual	0.9947	
𠷣	𢇮	visual	0.9946	
𠷣	𮬻	visual	0.9946	
𠷣	𢑴	visual	0.9945	
并	幷	visual	0.9945	
𧃲	𮑮	slot	0.9944	⿱:B:麻米/氵隻
𢇮	𮬻	visual	0.9943	
𢇮	𣱁	visual	0.9942	
𢑴	𮬻	visual	0.9940	
𧃲	𮬻	visual	0.9940	
𢑴	𣱁	visual	0.9940	
𢇮	𥊍	visual	0.9939	
𢇮	𮑮	visual	0.9939	
𢇮	𣙗	visual	0.9938	
𣱁	𮬻	visual	0.9938	
𠷣	𣙗	visual	0.9937	
𠷣	𮙥	visual	0.9937	
𫃟	𮑮	visual	0.9937	
𣱁	𧃲	visual	0.9936	
𮑮	𮙥	visual	0.9935	
𥊍	𮑮	visual	0.9935	
𮑮	𮬻	visual	0.9935	
𣙗	𨽾	visual	0.9934	
𣙗	𧃲	visual	0.9934	
𢇮	𮙥	visual	0.9934	
𠷣	𨽾	visual	0.9934	
𠷣	𣕕	visual	0.9934	
𮙥	𮬻	visual	0.9934	
𧃲	𮙥	visual	0.9934	
𣙗	𮑮	visual	0.9933	
𣙗	𤄊	visual	0.9933	
𠷣	𮑮	visual	0.9933	
𢦤	𣙗	visual	0.9933	
𠷣	𫃟	visual	0.9932	
𢇮	𣕕	visual	0.9931	
𠷣	𥳽	visual	0.9931	
𠷣	𦊨	visual	0.9931	
𢑴	𣙗	visual	0.9931	
𣙗	𫃟	visual	0.9931	
𣕕	𧃲	visual	0.9931	
𠷣	𥙐	visual	0.9930	
𣙗	𣱁	visual	0.9930	
𣱁	𮑮	visual	0.9930	
𢇮	𫃟	visual	0.9930	
𢦤	𮑮	visual	0.9930	
𠷣	𢦤	visual	0.9930	
𣙗	𥙐	visual	0.9929	
𣙗	𦊨	visual	0.9929	
𧃲	𫃟	visual	0.9929	
𣕕	𣙗	visual	0.9929	
𢇮	𥙐	visual	0.9928	
𨽾	𮬻	visual	0.9928	
𠷣	𥊍	visual	0.9928	
𢇮	𨽾	visual	0.9928	
𤄊	𮬻	visual	0.9928	
𣙗	𮙥	visual	0.9928	
𥊍	𨽾	visual	0.9928	
𥙐	𮬻	visual	0.9928	
𥳽	𮬻	visual	0.9928	
𢦤	𮬻	visual	0.9928	
𦊨	𧃲	visual	0.9928	
𫃟	𮬻	visual	0.9928	
𣙗	𮬻	visual	0.9928	
𦊨	𮑮	visual	0.9927	
𢑴	𤄊	visual	0.9927	
𣕕	𮑮	visual	0.9927	
𤄊	𧃲	visual	0.9927	
𤄊	𨽾	visual	0.9926	
𫃟	𮙥	visual	0.9926	
𢑴	𮙥	visual	0.9926	
𤄊	𦊨	visual	0.9926	
𢦤	𧃲	visual	0.9926	
𣱁	𥊍	visual	0.9925	
𣕕	𮬻	visual	0.9925	
𢇮	𢦤	visual	0.9925	
𥳽	𮑮	visual	0.9925	
𢑴	𮑮	visual	0.9925	
𣕕	𮞉	visual	0.9925	
𥊍	𫃟	visual	0.9925	
𢇮	𤄊	visual	0.9924	
𧃲	𨽾	visual	0.9924	
𥊍	𧃲	visual	0.9924	
𨽾	𮑮	visual	0.9924	
𠷣	𤄊	visual	0.9923	
𫃟	𮞉	visual	0.9923	
𣙗	𥳽	visual	0.9923	
𢦤	𥊍	visual	0.9923	
𣱁	𮙥	visual	0.9923	
𢦤	𤄊	visual	0.9923	
𢑴	𥊍	visual	0.9923	
𢇮	𥳽	visual	0.9923	
𤄊	𥙐	visual	0.9922	
𥙐	𮞉	visual	0.9922	
𥊍	𮙥	visual	0.9922	
𦊨	𮬻	visual	0.9922	
𥳽	𧃲	visual	0.9921	
𢇮	𦊨	visual	0.9921	
𥙐	𧃲	visual	0.9921	
𥙐	𮑮	visual	0.9921	
𦊨	𮞉	visual	0.9921	
𣕕	𤄊	visual	0.9921	
𥊍	𥙐	visual	0.9920	
𢦤	𮙥	visual	0.9920	
𦊨	𭥆	visual	0.9920	
𨽾	𭥆	visual	0.9920	
𤄊	𫃟	visual	0.9919	
𥊍	𮬻	visual	0.9919	
𤄊	𮑮	visual	0.9918	
𨽾	𮙥	visual	0.9918	
𣕕	𮙥	visual	0.9918	
𨽾	𮞉	visual	0.9918	
𥳽	𮞉	visual	0.9918	
𥙐	𮙥	visual	0.9918	
𥊍	𥳽	visual	0.9917	
𦊨	𮙥	visual	0.9917	
𣱁	𨽾	visual	0.9916	
𤄊	𥊍	visual	0.9916	
𤄊	𥳽	visual	0.9916	
𢑴	𨽾	visual	0.9916	
𣕕	𥊍	visual	0.9916	
𥳽	𮙥	visual	0.9915	
𫃟	𭥆	visual	0.9915	
𥊍	𦊨	visual	0.9915	
𢑴	𢦤	visual	0.9915	
𢦤	𣱁	visual	0.9914	
𢦤	𮞉	visual	0.9914	
𢑴	𫃟	visual	0.9914	
𣕕	𣱁	visual	0.9913	
𢦤	𭥆	visual	0.9913	
𣱁	𫃟	visual	0.9912	
𣱁	𤄊	visual	0.9912	
𥙐	𭥆	visual	0.9911	
𢑴	𥳽	visual	0.9911	
𢑴	𥙐	visual	0.9911	
𣱁	𥙐	visual	0.9911	
𣱁	𥳽	visual	0.9910	
𥳽	𭥆	visual	0.9910	
𣱁	𦊨	visual	0.9910	
𢑴	𣕕	visual	0.9909	
𣕕	𭥆	visual	0.9909	
𢑴	𦊨	visual	0.9909	
𤄊	𮙥	visual	0.9907	
𦒿	𫃟	visual	0.9907	
即	卽	slot	0.9905	⿰:L:皀/𢀳丶
藴	蘊	visual	0.9904	
𥳽	𦒿	visual	0.9902	
𣕕	𣵠	visual	0.9902	
𣕕	𦒿	visual	0.9902	
𠮓	𨽾	visual	0.9902	
𨏵	𫃟	visual	0.9901	
𠮓	𥙐	visual	0.9901	
𠮓	𢦤	visual	0.9901	
𣵠	𥳽	visual	0.9901	
𣵠	𫃟	visual	0.9901	
𠮓	𥳽	visual	0.9900	
𥙐	𦒿	visual	0.9899	
𠮓	𫃟	visual	0.9899	
𠮓	𣕕	visual	0.9898	
𣵠	𦊨	visual	0.9897	
𢦤	𣵠	visual	0.9897	
𦒿	𨽾	visual	0.9896	
𦊨	𦒿	visual	0.9896	
𥙐	𨏵	visual	0.9896	
𠮓	𦊨	visual	0.9896	
𤄊	𮞉	visual	0.9896	
𣵠	𥙐	visual	0.9894	
𨏵	𨽾	visual	0.9894	
𮞉	𮬻	visual	0.9894	
閱	閲	visual	0.9893	
𥳽	𨏵	visual	0.9892	
𢦤	𦒿	visual	0.9892	
𢇮	𮞉	visual	0.9892	
𧃲	𮞉	visual	0.9892	
𣵠	𨽾	visual	0.9891	
𠷣	𮞉	visual	0.9891	
榦	𠏉	visual	0.9890	
𦊨	𨏵	visual	0.9890	
𭥆	𮞉	visual	0.9890	
𣕕	𨏵	visual	0.9889	
𣙗	𮞉	visual	0.9888	
𢦤	𨏵	visual	0.9886	
𭥆	𮬻	visual	0.9885	
𠮓	𢇮	visual	0.9885	
𠮓	𥊍	visual	0.9884	
𠮓	𢑴	visual	0.9883	
𮑮	𮞉	visual	0.9883	
𭥆	𮑮	visual	0.9882	
𠮓	𨏵	visual	0.9882	
𣙗	𭥆	visual	0.9882	
𠮓	𣙗	visual	0.9880	
毀	毁	slot	0.9880	⿰:L:臼土/臼工
𠮓	𠷣	visual	0.9880	
𤄊	𭥆	visual	0.9878	
𢑴	𮞉	visual	0.9878	
𢇮	𭥆	visual	0.9878	
𥊍	𦒿	slot	0.9878	⿱:T:老/執
𠮓	𮑮	visual	0.9877	
𣙗	𦒿	visual	0.9876	
𠷣	𭥆	visual	0.9875	
𠮓	𮬻	visual	0.9875	
𤄊	𮊁	visual	0.9875	
𮙥	𮞉	visual	0.9875	
𥊍	𮞉	visual	0.9874	
𦒿	𮬻	visual	0.9873	
𧃲	𭥆	visual	0.9873	
𦊨	𮊁	slot	0.9872	⿱:B:古/且
𠮓	𮞉	visual	0.9872	
𣱁	𭥆	visual	0.9872	
𤄊	𦒿	visual	0.9870	
𦒿	𮞉	visual	0.9870	
𦒿	𮑮	visual	0.9869	
𠮓	𧃲	visual	0.9869	
𣵠	𮑮	visual	0.9869	
𣵠	𭥆	visual	0.9869	
𨏵	𭥆	visual	0.9869	
𧃲	𮊁	visual	0.9868	
𥊍	𭥆	visual	0.9868	
𠮓	𭥆	visual	0.9868	
𠷣	𦒿	visual	0.9867	
𣱁	𮞉	visual	0.9867	
𣵠	𮞉	visual	0.9867	
𢦤	𮊁	visual	0.9867	
𭥆	𮙥	visual	0.9866	
𣵠	𧃲	visual	0.9866	
𦒿	𧃲	visual	0.9865	
𠮓	𮙥	visual	0.9865	
𢇮	𦒿	visual	0.9865	
𨽾	𮊁	visual	0.9865	
𠷣	𨏵	visual	0.9865	
𨏵	𮬻	visual	0.9865	
𫃟	𮊁	visual	0.9865	
𠮓	𣱁	visual	0.9865	
𠷣	𣵠	visual	0.9865	
𨏵	𮑮	visual	0.9864	
𣙗	𣵠	visual	0.9864	
𣵠	𮙥	visual	0.9864	
𢑴	𭥆	visual	0.9864	
𣙗	𮊁	visual	0.9863	
𠷣	𮊁	visual	0.9863	
𦒿	𨏵	visual	0.9862	
𥙐	𮊁	visual	0.9862	
𣵠	𥊍	visual	0.9862	
𢇮	𣵠	visual	0.9862	
𣙗	𨏵	visual	0.9861	
𨏵	𮞉	visual	0.9861	
𧃲	𨏵	visual	0.9861	
𥳽	𮊁	visual	0.9861	
𮊁	𮑮	visual	0.9861	
𮊁	𮬻	visual	0.9860	
𠮓	𣵠	visual	0.9859	
𣵠	𨏵	visual	0.9859	
𣵠	𮬻	visual	0.9858	
𦒿	𮙥	visual	0.9858	
𠮓	𤄊	visual	0.9857	
笄	筓	slot	0.9856	⿱:B:开/幵
𮊁	𮙥	visual	0.9855	
𢇮	𨏵	visual	0.9855	
逸	𨓜	slot	0.9854	⿺:I:免/兔
𥊍	𨏵	visual	0.9854	
𦒿	𭥆	visual	0.9853	
𣕕	𮊁	visual	0.9852	
𨏵	𮙥	visual	0.9851	
𥊍	𮊁	visual	0.9851	
𢇮	𮊁	visual	0.9850	
𣱁	𮊁	visual	0.9850	
𢑴	𦒿	visual	0.9849	
𣱁	𦒿	visual	0.9849	
𣵠	𤄊	slot	0.9847	⿰:R:豕/厂墨
𠮓	𦒿	visual	0.9846	
𣱁	𨏵	visual	0.9845	
𢑴	𨏵	visual	0.9844	
𢑴	𣵠	visual	0.9843	
暌	睽	slot	0.9843	⿰:L:日/目
𣵠	𦒿	visual	0.9842	
𣱁	𣵠	visual	0.9840	
𢑴	𮊁	visual	0.9840	
杰	𤇍	slot	0.9840	⿱:T:朮/木
𤄊	𨏵	visual	0.9839	
𭥆	𮊁	visual	0.9837	
𮊁	𮞉	visual	0.9836	
禆	裨	slot	0.9833	⿰:L:示/衤
榖	穀	visual	0.9832	
奬	獎	slot	0.9829	⿱:B:大/犬
䈂	笄	slot	0.9826	⿱:B:并/开
𢂹	𥳽	visual	0.9823	
鼓	鼔	slot	0.9822	⿰:R:攴/支
𢂹	𣕕	visual	0.9819	
𣕕	𣻎	visual	0.9819	
𠮓	𮊁	visual	0.9818	
𣻎	𥳽	visual	0.9818	
𣻎	𭥆	visual	0.9817	
𢦤	𣻎	visual	0.9817	
𣻎	𫃟	visual	0.9817	
𣻎	𥙐	visual	0.9816	
𢂹	𦊨	visual	0.9815	
𣻎	𨽾	visual	0.9814	
䈂	筓	slot	0.9814	⿱:B:并/幵
𣕕	𦅐	visual	0.9813	
𦅐	𨽾	visual	0.9813	
𥳽	𦅐	visual	0.9811	
𦊨	𪏆	visual	0.9811	
皐	臯	slot	0.9810	⿱:T:白/自
禭	襚	slot	0.9810	⿰:L:示/衤
𦅐	𫃟	visual	0.9809	
𠮓	𣻎	visual	0.9809	
𢂹	𫃟	visual	0.9809	
嘆	暵	slot	0.9808	⿰:L:口/日
𥳽	𪏆	visual	0.9808	
𢦤	𦅐	visual	0.9808	
𣕕	𪏆	visual	0.9807	
𥮥	𦊨	visual	0.9807	
𥙐	𪏆	visual	0.9806	
𥙐	𦅐	visual	0.9806	
𦅐	𦊨	visual	0.9806	
𢂹	𭥆	visual	0.9806	
簑	簔	slot	0.9806	⿱:B:衣口一/衣廿一
𢂹	𥙐	visual	0.9805	
𢂹	𢦤	visual	0.9805	
晚	晩	visual	0.9805	
𦒿	𮊁	visual	0.9805	
𣻎	𦊨	visual	0.9804	
塵	麈	slot	0.9804	⿱:B:土/主
𥙐	𥮥	visual	0.9804	
𩣡	𮬻	visual	0.9804	
𥙐	𩣡	visual	0.9804	
𢦤	𪏆	visual	0.9804	
𢂹	𣌾	visual	0.9803	
𣻎	𮞉	visual	0.9803	
𥮥	𥳽	slot	0.9803	⿱:B:析/其欠
𠈁	𥙐	visual	0.9803	
𥳽	𦁐	visual	0.9801	
𪏆	𫃟	visual	0.9801	
𢂹	𨽾	visual	0.9801	
𣻎	𨏵	visual	0.9800	
𥳽	𦐖	visual	0.9800	
𢂹	𮞉	visual	0.9800	
𤇴	𥳽	visual	0.9799	
𣕕	𥮥	visual	0.9799	
𣙗	𣻎	visual	0.9799	
𥙐	𦐖	visual	0.9799	
𢦤	𥮥	visual	0.9798	
崇	祟	visual	0.9797	
𦐖	𫃟	visual	0.9797	
𣵠	𮊁	visual	0.9797	
𥙐	𦁐	visual	0.9796	
𨽾	𪏆	visual	0.9796	
䐇	脗	visual	0.9796	
𠈁	𥳽	visual	0.9796	
𥮥	𫃟	visual	0.9796	
𠈁	𢦤	visual	0.9795	
𢦤	𦐖	visual	0.9795	
𢂹	𨏵	visual	0.9794	
𣕕	𩣡	visual	0.9794	
𦊨	𩣡	visual	0.9793	
𦅐	𭥆	visual	0.9793	
𠈁	𦊨	visual	0.9793	
𥮥	𮞉	visual	0.9792	
𦅐	𦒿	visual	0.9792	
𦐖	𨽾	visual	0.9791	
𨏵	𮊁	visual	0.9791	
𠈁	𨽾	visual	0.9791	
𥮥	𨽾	visual	0.9790	
西	酉	visual	0.9790	
烏	鳥	visual	0.9790	
𣵠	𣻎	slot	0.9790	⿰:R:丶冖元攵/豕
𣌾	𫃟	visual	0.9789	
𢂹	𮬻	visual	0.9789	
𠮓	𦐖	visual	0.9789	
踳	蹖	slot	0.9789	⿰:R:春/舂
𢦤	𩣡	visual	0.9789	
𦅐	𨏵	visual	0.9788	
𣌾	𥳽	visual	0.9788	
𦊨	𦐖	visual	0.9788	
𠈁	𫃟	visual	0.9788	
𪏆	𭥆	visual	0.9788	
𣕕	𦁐	visual	0.9788	
𩣡	𫃟	visual	0.9788	
𢦤	𦁐	visual	0.9787	
𢦤	𣌾	visual	0.9786	
𣵠	𥮥	visual	0.9786	
健	徤	slot	0.9786	⿰:L:亻/彳
𢇮	𤊹	visual	0.9786	
𣕕	𤇴	visual	0.9786	
𢇮	𩣡	visual	0.9785	
𣻎	𥊍	visual	0.9785	
𣻎	𦒿	visual	0.9785	
𠈁	𭥆	visual	0.9784	
𠷣	𣻎	visual	0.9784	
𦁐	𫃟	slot	0.9784	⿰:R:未/屈
𣌾	𦊨	visual	0.9783	
己	已	visual	0.9783	
𨏵	𪏆	visual	0.9783	
𪏆	𮞉	visual	0.9783	
𠷓	𢦤	visual	0.9783	
𥳽	𩣡	visual	0.9783	
𣕕	𦐖	visual	0.9783	
𢂹	𦒿	visual	0.9783	
𠷓	𦐖	slot	0.9783	⿰:L:甹/羽
𤇴	𦊨	visual	0.9783	
𣌾	𣕕	visual	0.9782	
𣵠	𦐖	visual	0.9782	
𠷓	𥙐	visual	0.9781	
𢦤	𤇴	visual	0.9781	
𠈁	𮞉	visual	0.9781	
𣌾	𨽾	visual	0.9781	
誠	誡	slot	0.9781	⿰:R:戒/成
𨽾	𩣡	visual	0.9780	
𠈁	𣕕	visual	0.9780	
𢑴	𤊹	visual	0.9780	
𤇴	𭥆	visual	0.9780	
𣌾	𥙐	visual	0.9780	
𠷣	𥮥	visual	0.9779	
𢂹	𣵠	visual	0.9779	
𥮥	𭥆	visual	0.9779	
㕔	廳	slot	0.9778	⿸:O:厂/广
𠈁	𠮓	visual	0.9778	
𣌾	𭥆	visual	0.9778	
𠮓	𤊹	visual	0.9778	
𤇴	𫃟	visual	0.9778	
𤇴	𥙐	visual	0.9778	
𤇴	𨽾	visual	0.9778	
𠷓	𣕕	visual	0.9778	
𥮥	𦒿	visual	0.9778	
𠷓	𫃟	visual	0.9777	
狗	狥	slot	0.9777	⿰:R:句/旬
𠮓	𦅐	visual	0.9777	
𦅐	𮞉	visual	0.9777	
杏	杳	slot	0.9776	⿱:B:日/口
呴	昫	slot	0.9776	⿰:L:日/口
𠷣	𦁐	visual	0.9776	
𣵠	𤇴	visual	0.9776	
𦁐	𭥆	visual	0.9776	
𣵠	𪏆	visual	0.9776	
𠷓	𥳽	visual	0.9776	
𣌾	𨏵	visual	0.9776	
𣱁	𤊹	visual	0.9775	
𠷣	𤊹	visual	0.9775	
𣌾	𦒿	visual	0.9775	
𦐖	𭥆	visual	0.9775	
䕶	護	visual	0.9774	
𢇮	𣻎	visual	0.9774	
𦁐	𦊨	visual	0.9774	
𠷣	𦐖	visual	0.9774	
𦐖	𦒿	visual	0.9774	
𠷣	𤇴	visual	0.9774	
𠮓	𩣡	visual	0.9774	
𣻎	𮬻	visual	0.9773	
兹	茲	visual	0.9773	
𠷣	𢂹	visual	0.9773	
𣱁	𣻎	visual	0.9773	
𤇴	𦒿	visual	0.9773	
𣻎	𤄊	slot	0.9773	⿰:R:丶冖元攵/厂墨
𥮥	𧃲	visual	0.9773	
𠮓	𥮥	visual	0.9773	
𤊹	𮬻	visual	0.9773	
𩣡	𮞉	visual	0.9772	
𢂹	𤄊	visual	0.9772	
𪏆	𮬻	visual	0.9772	
𤄊	𤇴	visual	0.9772	
𢂹	𮑮	visual	0.9772	
𣙗	𤊹	visual	0.9771	
𠮓	𤇴	visual	0.9771	
𦐖	𮞉	visual	0.9771	
𣵠	𦁐	visual	0.9771	
𦅐	𮑮	visual	0.9770	
𥮥	𮬻	visual	0.9770	
𣵠	𦅐	visual	0.9770	
𨏵	𩣡	visual	0.9770	
𤄊	𩣡	visual	0.9769	
𠷣	𩣡	visual	0.9769	
官	宫	slot	0.9769	⿱:B:吕/㠯
𠮓	𪏆	visual	0.9769	
𢑴	𦐖	visual	0.9769	
𤇴	𥊍	visual	0.9769	
𥮥	𮑮	visual	0.9769	
𤇴	𮬻	visual	0.9769	
𤇴	𮞉	visual	0.9769	
𣵠	𩣡	visual	0.9768	
𦁐	𨽾	visual	0.9768	
𦁐	𮬻	visual	0.9768	
𣙗	𦅐	visual	0.9767	
𣻎	𧃲	visual	0.9767	
𣻎	𮙥	visual	0.9767	
𦐖	𮬻	visual	0.9767	
𠷓	𦊨	visual	0.9767	
𤄊	𥮥	visual	0.9767	
𣙗	𩣡	visual	0.9766	
𣻎	𮑮	visual	0.9766	
𠮓	𢂹	visual	0.9766	
𦅐	𮊁	visual	0.9766	
𩣡	𮑮	visual	0.9766	
𤊹	𧃲	visual	0.9766	
𤊹	𮑮	visual	0.9765	
𦐖	𧃲	visual	0.9765	
删	刪	slot	0.9765	⿰:L:冂〢一/册
𦒿	𩣡	visual	0.9765	
𤊹	𥙐	visual	0.9765	
𠷓	𭥆	visual	0.9765	
𦁐	𮞉	visual	0.9765	
𦒿	𪏆	visual	0.9764	
𠈁	𣵠	visual	0.9764	
𣱁	𦁐	visual	0.9764	
𣙗	𦐖	visual	0.9763	
𦐖	𮊁	visual	0.9763	
𩣡	𭥆	visual	0.9763	
𤊹	𥊍	visual	0.9763	
𧃲	𪏆	visual	0.9763	
𣻎	𦁐	visual	0.9763	
𧃲	𩣡	visual	0.9763	
𤄊	𪏆	visual	0.9762	
𤇴	𮊁	visual	0.9762	
𦯳	𫃟	visual	0.9762	
𢇮	𦅐	visual	0.9761	
鬬	鬭	slot	0.9761	⿵:I:#(-丨一-𠃑一-𠃍𠃑-一𠃑)一斤/〢#(一-𠃍丨b一)匚コ一斤
𢇮	𪏆	visual	0.9761	
降	隆	slot	0.9761	⿰:R:夂一生/夅
𤱑	𥙐	visual	0.9761	
𢂹	𣙗	visual	0.9761	
𣙗	𥮥	visual	0.9760	
𢑴	𣻎	visual	0.9760	
𣱁	𥮥	visual	0.9760	
逹	達	slot	0.9759	⿺:I:土羊/幸
𤇴	𮑮	visual	0.9759	
㩁	搉	slot	0.9759	⿰:R:隺/宀隹
頺	頽	slot	0.9759	⿰:L:秃/秀
𥮥	𨏵	visual	0.9759	
𤄊	𤱑	visual	0.9759	
𦐖	𨏵	visual	0.9759	
𤇴	𧃲	visual	0.9759	
𦐖	𮙥	visual	0.9759	
𦁐	𦒿	visual	0.9758	
𤊹	𫃟	visual	0.9758	
𥙐	𦯳	visual	0.9758	
𠷣	𪏆	visual	0.9758	
𥊍	𩣡	visual	0.9758	
𤄊	𦅐	visual	0.9758	
𠷓	𨽾	visual	0.9758	
𠈁	𨏵	visual	0.9758	
𠈁	𦒿	visual	0.9758	
𤊹	𥳽	visual	0.9758	
𣙗	𦁐	visual	0.9758	
𢂹	𢇮	visual	0.9758	
𦅐	𮬻	visual	0.9758	
𢑴	𪏆	visual	0.9757	
𠷓	𮬻	visual	0.9757	
𢑴	𩣡	visual	0.9757	
𤊹	𮙥	visual	0.9757	
𣌾	𮞉	visual	0.9756	
𢂹	𮊁	visual	0.9756	
束	東	visual	0.9756	
𣱁	𩣡	visual	0.9756	
𢂹	𥊍	visual	0.9756	
簀	簣	slot	0.9755	⿱:B:責/貴
䙝	褻	visual	0.9755	
𢇮	𦐖	visual	0.9755	
𢂹	𣱁	visual	0.9755	
𣱁	𤇴	visual	0.9755	
𠷣	𦅐	visual	0.9755	
𠷣	𧝎	visual	0.9755	
𢂹	𪏆	visual	0.9755	
𢇮	𦁐	visual	0.9754	
𢑴	𥮥	visual	0.9754	
𠷓	𦒿	visual	0.9754	
𣱁	𦅐	visual	0.9754	
𪏆	𮊁	visual	0.9754	
寛	寬	slot	0.9754	⿱:B:艹見/卝見丶
𪏆	𮑮	visual	0.9754	
𪏆	𮙥	visual	0.9753	
槀	稾	slot	0.9753	⿱:B:禾/木
𣻎	𦅐	visual	0.9753	
𠈁	𣙗	visual	0.9753	
𢂹	𧃲	visual	0.9753	
𣌾	𣵠	visual	0.9753	
𣱁	𪏆	visual	0.9753	
𠷓	𣵠	visual	0.9753	
㩁	摧	slot	0.9753	⿰:R:崔/宀隹
𥳽	𦯳	visual	0.9753	
𦅐	𧃲	visual	0.9753	
𣙗	𪏆	visual	0.9752	
𣕕	𦯳	visual	0.9752	
懐	懷	slot	0.9752	⿰:R:褱/亠罒衣
傅	傳	slot	0.9752	⿰:R:專/尃
𠷓	𠷣	visual	0.9752	
刺	剌	slot	0.9752	⿰:L:束/朿
𠮓	𦁐	visual	0.9752	
𤄊	𦐖	visual	0.9752	
𢂹	𢑴	visual	0.9752	
𥊍	𦐖	visual	0.9752	
𤊹	𦊨	visual	0.9752	
𢇮	𥮥	visual	0.9751	
𧝎	𮬻	visual	0.9751	
𥊍	𥮥	visual	0.9751	
𢦤	𤊹	visual	0.9751	
𦁐	𮙥	visual	0.9751	
𠮓	𧝎	visual	0.9751	
𤊹	𨽾	visual	0.9751	
𤄊	𤊹	visual	0.9750	
綱	網	slot	0.9750	⿰:R:罔/岡
𤇴	𮙥	visual	0.9750	
𠈁	𮬻	visual	0.9750	
土	士	visual	0.9750	
𥊍	𦅐	visual	0.9749	
問	間	slot	0.9749	⿵:I:口/日
𠈁	𢇮	visual	0.9749	
𦯳	𮬻	visual	0.9749	
搏	摶	slot	0.9749	⿰:R:尃/專
𠈁	𥊍	visual	0.9749	
𥊍	𦁐	visual	0.9748	
𤱑	𧃲	visual	0.9748	
𥊍	𪏆	visual	0.9748	
𣙗	𤇴	visual	0.9748	
𠷓	𧃲	visual	0.9748	
𣱁	𦐖	visual	0.9748	
𩣡	𮙥	visual	0.9748	
𤱑	𨽾	visual	0.9747	
脈	脤	slot	0.9747	⿰:R:辰/𠂢
𤇴	𨏵	visual	0.9747	
𠮓	𣌾	visual	0.9747	
𠷣	𣌾	visual	0.9747	
𢦤	𦯳	visual	0.9747	
𤊹	𮊁	visual	0.9747	
𦁐	𧃲	visual	0.9746	
機	𧝞	slot	0.9746	⿰:L:木/衤
𠷓	𪏆	visual	0.9746	
渒	禆	slot	0.9746	⿰:L:氵/示
𠈁	𠷣	visual	0.9746	
𣵠	𤊹	visual	0.9746	
𢂹	𦁐	visual	0.9746	
𦁐	𨏵	visual	0.9745	
𠷓	𮞉	visual	0.9745	
𦊨	𦯳	visual	0.9745	
𢑴	𤱑	visual	0.9745	
𧃲	𧝎	visual	0.9745	
𣕕	𤊹	visual	0.9745	
𠈁	𮑮	visual	0.9745	
𠷓	𣌾	visual	0.9744	
𣌾	𮬻	visual	0.9744	
𦁐	𮑮	visual	0.9744	
𥮥	𩣡	visual	0.9744	
𠈁	𮊁	visual	0.9744	
𥮥	𮙥	visual	0.9744	
𠷓	𣻎	visual	0.9743	
𢑴	𦁐	visual	0.9743	
𠈁	𪏆	visual	0.9743	
寵	籠	slot	0.9743	⿱:T:𥫗/宀
𣌾	𣙗	visual	0.9743	
𢂹	𮙥	visual	0.9742	
𥮥	𪏆	visual	0.9742	
𣌾	𧃲	visual	0.9742	
𢂹	𤇴	visual	0.9742	
𤱑	𫃟	visual	0.9742	
𥮥	𦐖	visual	0.9742	
𢇮	𤇴	visual	0.9742	
𢑴	𤇴	visual	0.9742	
𣙗	𤱑	visual	0.9742	
𤊹	𮞉	visual	0.9742	
𢑴	𧝎	visual	0.9742	
凑	湊	slot	0.9742	⿰:L:氵/冫
蛉	蛤	slot	0.9741	⿰:R:合/令
𤱑	𥳽	visual	0.9741	
𦐖	𮑮	visual	0.9741	
𠷣	𦯳	visual	0.9741	
𠷓	𤄊	visual	0.9740	
