== border_detect Step1 边框探测：206 页
[128/1236] 10% border_detect p128: 完成 0.84s
[129/1236] 10% border_detect p129: 完成 0.92s
[130/1236] 10% border_detect p130: 完成 1.03s
[131/1236] 10% border_detect p131: 完成 0.77s
[132/1236] 10% border_detect p132: 完成 0.90s
[133/1236] 10% border_detect p133: 完成 0.94s
[134/1236] 10% border_detect p134: 完成 1.06s
[135/1236] 10% border_detect p135: 完成 0.85s
[136/1236] 11% border_detect p136: 完成 0.86s
[137/1236] 11% border_detect p137: 完成 0.95s
[138/1236] 11% border_detect p138: 完成 1.05s
[139/1236] 11% border_detect p139: 完成 0.98s
[140/1236] 11% border_detect p140: 完成 1.02s
[141/1236] 11% border_detect p141: 完成 0.91s
[142/1236] 11% border_detect p142: 完成 0.85s
[143/1236] 11% border_detect p143: 完成 0.99s
[144/1236] 11% border_detect p144: 完成 0.80s
[145/1236] 11% border_detect p145: 完成 0.88s
[146/1236] 11% border_detect p146: 完成 0.91s
[147/1236] 11% border_detect p147: 完成 0.85s
[148/1236] 11% border_detect p148: 完成 0.82s
[149/1236] 12% border_detect p149: 完成 0.95s
[150/1236] 12% border_detect p150: 完成 0.85s
[151/1236] 12% border_detect p151: 完成 0.96s
[152/1236] 12% border_detect p152: 完成 0.96s
[153/1236] 12% border_detect p153: 完成 0.88s
[154/1236] 12% border_detect p154: 完成 0.80s
[155/1236] 12% border_detect p155: 完成 0.82s
[156/1236] 12% border_detect p156: 完成 0.83s
[157/1236] 12% border_detect p157: 完成 1.09s
[158/1236] 12% border_detect p158: 完成 0.90s
[159/1236] 12% border_detect p159: 完成 0.93s
[160/1236] 12% border_detect p160: 完成 1.02s
[161/1236] 13% border_detect p161: 完成 0.82s
[162/1236] 13% border_detect p162: 完成 0.86s
[163/1236] 13% border_detect p163: 完成 0.99s
[164/1236] 13% border_detect p164: 完成 0.90s
[165/1236] 13% border_detect p165: 完成 0.89s
[166/1236] 13% border_detect p166: 完成 0.94s
[167/1236] 13% border_detect p167: 完成 1.04s
[168/1236] 13% border_detect p168: 完成 0.84s
[169/1236] 13% border_detect p169: 完成 0.84s
[170/1236] 13% border_detect p170: 完成 1.04s
[171/1236] 13% border_detect p171: 完成 1.01s
[172/1236] 13% border_detect p172: 完成 0.89s
[173/1236] 13% border_detect p173: 完成 0.88s
[174/1236] 14% border_detect p174: 完成 0.87s
[175/1236] 14% border_detect p175: 完成 0.92s
[176/1236] 14% border_detect p176: 完成 1.10s
[177/1236] 14% border_detect p177: 完成 0.79s
[178/1236] 14% border_detect p178: 完成 0.91s
[179/1236] 14% border_detect p179: 完成 0.77s
[180/1236] 14% border_detect p180: 完成 0.79s
[181/1236] 14% border_detect p181: 完成 1.01s
[182/1236] 14% border_detect p182: 完成 0.89s
[183/1236] 14% border_detect p183: 完成 1.00s
[184/1236] 14% border_detect p184: 完成 0.91s
[185/1236] 14% border_detect p185: 完成 0.85s
[186/1236] 15% border_detect p186: 完成 0.82s
[187/1236] 15% border_detect p187: 完成 0.93s
[188/1236] 15% border_detect p188: 完成 0.85s
[189/1236] 15% border_detect p189: 完成 0.93s
[190/1236] 15% border_detect p190: 完成 0.89s
[191/1236] 15% border_detect p191: 完成 0.99s
[192/1236] 15% border_detect p192: 完成 0.84s
[193/1236] 15% border_detect p193: 完成 0.80s
[194/1236] 15% border_detect p194: 完成 0.84s
[195/1236] 15% border_detect p195: 完成 0.74s
[196/1236] 15% border_detect p196: 完成 0.83s
[197/1236] 15% border_detect p197: 完成 0.90s
[198/1236] 16% border_detect p198: 完成 0.92s
[199/1236] 16% border_detect p199: 完成 1.00s
[200/1236] 16% border_detect p200: 完成 0.99s
[201/1236] 16% border_detect p201: 完成 0.86s
[202/1236] 16% border_detect p202: 完成 0.87s
[203/1236] 16% border_detect p203: 完成 0.86s
[204/1236] 16% border_detect p204: 完成 0.98s
[205/1236] 16% border_detect p205: 完成 1.07s
[206/1236] 16% border_detect p206: 完成 1.25s
== border_detect_gate Step1→2 交接闸：206 页
[207/1236] 16% border_detect_gate p1: 新鲜，跳过
[208/1236] 16% border_detect_gate p2: 新鲜，跳过
[209/1236] 16% border_detect_gate p3: 新鲜，跳过
[210/1236] 16% border_detect_gate p4: 完成 0.11s
[211/1236] 17% border_detect_gate p5: 完成 0.11s
[212/1236] 17% border_detect_gate p6: 完成 0.11s
[213/1236] 17% border_detect_gate p7: 完成 0.11s
[214/1236] 17% border_detect_gate p8: 完成 0.12s
[215/1236] 17% border_detect_gate p9: 完成 0.11s
[216/1236] 17% border_detect_gate p10: 完成 0.11s
[217/1236] 17% border_detect_gate p11: 完成 0.11s
[218/1236] 17% border_detect_gate p12: 完成 0.12s
[219/1236] 17% border_detect_gate p13: 完成 0.11s
[220/1236] 17% border_detect_gate p14: 完成 0.12s
[221/1236] 17% border_detect_gate p15: 完成 0.11s
[222/1236] 17% border_detect_gate p16: 完成 0.11s
[223/1236] 18% border_detect_gate p17: 完成 0.10s
[224/1236] 18% border_detect_gate p18: 完成 0.11s
[225/1236] 18% border_detect_gate p19: 完成 0.10s
[226/1236] 18% border_detect_gate p20: 完成 0.11s
[227/1236] 18% border_detect_gate p21: 完成 0.10s
[228/1236] 18% border_detect_gate p22: 完成 0.11s
[229/1236] 18% border_detect_gate p23: 完成 0.10s
[230/1236] 18% border_detect_gate p24: 新鲜，跳过
[231/1236] 18% border_detect_gate p25: 完成 0.10s
[232/1236] 18% border_detect_gate p26: 完成 0.11s
[233/1236] 18% border_detect_gate p27: 完成 0.10s
[234/1236] 18% border_detect_gate p28: 完成 0.12s
[235/1236] 19% border_detect_gate p29: 完成 0.10s
[236/1236] 19% border_detect_gate p30: 完成 0.12s
[237/1236] 19% border_detect_gate p31: 完成 0.11s
[238/1236] 19% border_detect_gate p32: 完成 0.12s
[239/1236] 19% border_detect_gate p33: 完成 0.11s
[240/1236] 19% border_detect_gate p34: 完成 0.11s
[241/1236] 19% border_detect_gate p35: 完成 0.11s
